Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
1.62941E+12,2021-08-19 22:00:00+00:00,BTCUSDT,46607,46808.71,46340.12,46804.84,1421.326508,66117485.72,74650
1.62941E+12,2021-08-19 23:00:00+00:00,BTCUSDT,46804.84,47033,46502.62,46760.62,2206.947426,103215393,63628
1.62942E+12,2021-08-20 00:00:00+00:00,BTCUSDT,46760.62,47390,46622.99,47140.45,3718.899618,175212509.7,103748
1.62942E+12,2021-08-20 01:00:00+00:00,BTCUSDT,47140.45,47305.01,46913.65,47193.51,1877.261924,88500015.96,51319
1.62942E+12,2021-08-20 02:00:00+00:00,BTCUSDT,47193.52,47309.92,47067.31,47151.65,1411.610727,66597051.95,36185
1.62943E+12,2021-08-20 03:00:00+00:00,BTCUSDT,47151.65,47193.53,46947.21,47054.74,1530.944142,72052866.16,38763
1.62943E+12,2021-08-20 04:00:00+00:00,BTCUSDT,47054.75,47215.3,46986.82,47114.99,1384.854659,65240605.56,89596
1.62944E+12,2021-08-20 05:00:00+00:00,BTCUSDT,47115,47200,46827,47163.29,1989.34736,93555598.52,61168
1.62944E+12,2021-08-20 06:00:00+00:00,BTCUSDT,47163.29,47246.39,47001.02,47172.03,1469.450446,69259756,93379
1.62944E+12,2021-08-20 07:00:00+00:00,BTCUSDT,47172.04,47199.42,46700.24,46833.48,2250.388746,105704205.6,120636
1.62945E+12,2021-08-20 08:00:00+00:00,BTCUSDT,46833.48,47004.99,46720,46916.8,2153.73017,100932858.8,48921
1.62945E+12,2021-08-20 09:00:00+00:00,BTCUSDT,46916.8,47330,46894.4,47209.33,2467.595335,116330539.4,56608
1.62945E+12,2021-08-20 10:00:00+00:00,BTCUSDT,47209.33,47357.67,47134.82,47235,1504.016347,71014238.75,50799
1.62946E+12,2021-08-20 11:00:00+00:00,BTCUSDT,47235.01,47235.01,46865.74,46922.34,1652.628654,77732351.37,44454
1.62946E+12,2021-08-20 12:00:00+00:00,BTCUSDT,46922.34,47197.97,46888.19,47164.32,1622.910735,76334846.66,52670
1.62946E+12,2021-08-20 13:00:00+00:00,BTCUSDT,47164.31,47812,47107.12,47788.79,3651.129426,173376993.8,131502
1.62947E+12,2021-08-20 14:00:00+00:00,BTCUSDT,47788.79,48594.82,47643.77,48550.53,6565.314104,316257748.7,235268
1.62947E+12,2021-08-20 15:00:00+00:00,BTCUSDT,48550.52,48720.29,48206.36,48718.38,3850.880752,186465736.3,138356
1.62948E+12,2021-08-20 16:00:00+00:00,BTCUSDT,48718.38,49096.34,48500,48758.07,5116.232253,249575764.5,129168
1.62948E+12,2021-08-20 17:00:00+00:00,BTCUSDT,48758.08,48872.55,48603.74,48675.01,1664.657713,81121587.43,48846
1.62948E+12,2021-08-20 18:00:00+00:00,BTCUSDT,48675,48747.93,48289.43,48458,2439.501317,118321604.2,60131
1.62949E+12,2021-08-20 19:00:00+00:00,BTCUSDT,48458,48726.9,48421.3,48684.16,1285.824695,62465525.88,41408
1.62949E+12,2021-08-20 20:00:00+00:00,BTCUSDT,48684.16,48830.67,48598.01,48640.98,1245.456767,60658735.08,80348
1.62949E+12,2021-08-20 21:00:00+00:00,BTCUSDT,48640.98,49360.41,48612.42,49322.96,2204.456959,107914926,129216
1.6295E+12,2021-08-20 22:00:00+00:00,BTCUSDT,49322.96,49382.99,48943.27,49209.69,2181.391774,107193846.9,64130
1.6295E+12,2021-08-20 23:00:00+00:00,BTCUSDT,49209.69,49350,49004.12,49322.47,1611.867605,79311831.19,43785
1.6295E+12,2021-08-21 00:00:00+00:00,BTCUSDT,49322.47,49357.62,48713.5,48878.24,2471.873164,121167715.7,167084
1.62951E+12,2021-08-21 01:00:00+00:00,BTCUSDT,48878.24,49069.45,48804.46,49035.66,1103.424266,54001915.43,34775
1.62951E+12,2021-08-21 02:00:00+00:00,BTCUSDT,49035.65,49100,48813.41,48841.77,1051.285281,51483375.19,49193
1.62951E+12,2021-08-21 03:00:00+00:00,BTCUSDT,48841.77,48919.48,48670.1,48828.17,1361.65813,66481423.24,74500
1.62952E+12,2021-08-21 04:00:00+00:00,BTCUSDT,48828.17,48829.48,48555,48625.67,1429.443705,69597888.72,65708
1.62952E+12,2021-08-21 05:00:00+00:00,BTCUSDT,48625.67,48976.12,48571.06,48836.76,1346.196969,65731311.37,59054
1.62953E+12,2021-08-21 06:00:00+00:00,BTCUSDT,48836.77,48839.01,48600,48674.74,1124.470145,54789368.61,39386
1.62953E+12,2021-08-21 07:00:00+00:00,BTCUSDT,48674.73,48990,48618,48944.23,1537.134328,75078165.66,101646
1.62953E+12,2021-08-21 08:00:00+00:00,BTCUSDT,48944.22,49104.82,48777.26,48855.5,1811.195233,88604634.41,143657
1.62954E+12,2021-08-21 09:00:00+00:00,BTCUSDT,48855.51,48920,48754.12,48798.67,1249.536781,61006244.73,43193
1.62954E+12,2021-08-21 10:00:00+00:00,BTCUSDT,48798.66,49349.57,48760.26,49300.01,3720.468256,182604945.5,95701
1.62954E+12,2021-08-21 11:00:00+00:00,BTCUSDT,49300.01,49400,48222,48501.87,6065.617586,294610698,177409
1.62955E+12,2021-08-21 12:00:00+00:00,BTCUSDT,48501.88,49309.58,48434.07,49204.56,2818.603048,137759542.7,73952
1.62955E+12,2021-08-21 13:00:00+00:00,BTCUSDT,49204.56,49405.52,49012.3,49120.62,2504.375336,123274853.9,80596
1.62955E+12,2021-08-21 14:00:00+00:00,BTCUSDT,49120.61,49150.01,48926.92,48985.19,1718.528534,84260956.96,60714
1.62956E+12,2021-08-21 15:00:00+00:00,BTCUSDT,48985.18,49265.55,48946.75,49180.98,1269.22422,62357413.12,121176
1.62956E+12,2021-08-21 16:00:00+00:00,BTCUSDT,49180.98,49662,49064.01,49480.11,3136.627825,155028932.4,84896
1.62957E+12,2021-08-21 17:00:00+00:00,BTCUSDT,49480.12,49757.04,49375.78,49647.88,2567.175927,127325368.9,62426
1.62957E+12,2021-08-21 18:00:00+00:00,BTCUSDT,49647.88,49662.21,49271.42,49457.59,1672.704651,82686041.14,50172
1.62957E+12,2021-08-21 19:00:00+00:00,BTCUSDT,49457.59,49476.69,48765,48978.68,2165.256131,106243494,102954
1.62958E+12,2021-08-21 20:00:00+00:00,BTCUSDT,48978.68,49166.66,48827.01,48991.46,1486.957597,72823908.7,79100
1.62958E+12,2021-08-21 21:00:00+00:00,BTCUSDT,48991.45,49264.99,48900,49140.66,926.856096,45507447.71,101780
1.62958E+12,2021-08-21 22:00:00+00:00,BTCUSDT,49140.66,49370.96,49133.53,49336.35,983.168948,48452557.53,138092
1.62959E+12,2021-08-21 23:00:00+00:00,BTCUSDT,49336.35,49390,48806.58,48821.87,1223.354427,60087927.65,62561
1.62959E+12,2021-08-22 00:00:00+00:00,BTCUSDT,48821.88,49031.87,48679.73,48963.69,1379.210126,67398227.72,73935
1.62959E+12,2021-08-22 01:00:00+00:00,BTCUSDT,48963.69,49162.51,48854.29,49025.93,1084.085287,53152666.94,80704
1.6296E+12,2021-08-22 02:00:00+00:00,BTCUSDT,49025.93,49042.17,48732.75,48836.96,892.251048,43600723.38,63472
1.6296E+12,2021-08-22 03:00:00+00:00,BTCUSDT,48836.96,48908.91,48601,48790,1061.604873,51766678.99,31513
1.6296E+12,2021-08-22 04:00:00+00:00,BTCUSDT,48790,49129.76,48781.1,49110.6,976.576924,47772283.51,30805
1.62961E+12,2021-08-22 05:00:00+00:00,BTCUSDT,49110.61,49249.28,48956.34,49129.76,1116.038063,54789385.53,33857
1.62961E+12,2021-08-22 06:00:00+00:00,BTCUSDT,49129.75,49272.7,49052.46,49164.45,1290.504999,63483737.49,85876
