Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1.62E+12,2021-05-31 04:00:00+00:00,ETHUSDT,2300.98,2318.66,2279.94,2310.45,37782.82127,86963017.81,52203
1.62E+12,2021-05-31 05:00:00+00:00,ETHUSDT,2310.98,2338.85,2296.63,2318.04,39418.50723,91470922.27,52290
1.62E+12,2021-05-31 06:00:00+00:00,ETHUSDT,2318.12,2394,2316.41,2390.13,44129.53864,104177926.9,60904
1.62E+12,2021-05-31 07:00:00+00:00,ETHUSDT,2390.39,2455.31,2385.03,2450.42,81706.32891,198754518.7,97753
1.62E+12,2021-05-31 08:00:00+00:00,ETHUSDT,2450.3,2507.96,2425.04,2492.99,79675.45597,197004153.4,108512
1.62E+12,2021-05-31 09:00:00+00:00,ETHUSDT,2493,2522.22,2483.88,2486.95,63531.27035,158955956.2,84155
1.62E+12,2021-05-31 10:00:00+00:00,ETHUSDT,2486.95,2562.22,2486.33,2554,73254.14306,185732267.2,101801
1.62E+12,2021-05-31 11:00:00+00:00,ETHUSDT,2554,2587.15,2545,2551.46,71170.88803,182665060.7,94623
1.62E+12,2021-05-31 12:00:00+00:00,ETHUSDT,2551.81,2583.96,2518.58,2533.59,66738.69365,169957043.8,87323
1.62E+12,2021-05-31 13:00:00+00:00,ETHUSDT,2533.67,2575.09,2521.8,2529.84,60160.69363,153111129.9,75882
1.62E+12,2021-05-31 14:00:00+00:00,ETHUSDT,2529.85,2555,2509.66,2542.82,71731.38595,181433070.9,75719
1.62E+12,2021-05-31 15:00:00+00:00,ETHUSDT,2542.73,2643.56,2542.71,2637.48,86641.4405,225645523.7,126111
1.62E+12,2021-05-31 16:00:00+00:00,ETHUSDT,2637.47,2677.7,2620.61,2634.8,84929.88266,224675115.6,120951
1.62E+12,2021-05-31 17:00:00+00:00,ETHUSDT,2634.68,2638.7,2583.23,2615.56,51926.49784,135263676.4,73469
1.62E+12,2021-05-31 18:00:00+00:00,ETHUSDT,2615.56,2618.8,2572.65,2593.17,29396.05318,76268885.71,43718
1.62E+12,2021-05-31 19:00:00+00:00,ETHUSDT,2593.17,2628.45,2584.6,2627.2,26037.46462,67772992.2,41814
1.62E+12,2021-05-31 20:00:00+00:00,ETHUSDT,2627.2,2645.65,2593.2,2598.87,33706.72724,88185585.34,46630
1.62E+12,2021-05-31 21:00:00+00:00,ETHUSDT,2598.86,2632.32,2595.53,2627.64,16124.04156,42154642.8,69326
1.62E+12,2021-05-31 22:00:00+00:00,ETHUSDT,2627.42,2670.04,2621.06,2644.55,41222.56263,109360157.6,64097
1.62E+12,2021-05-31 23:00:00+00:00,ETHUSDT,2644.81,2720,2639.2,2706.15,51891.05184,139769273.7,99093
1.62E+12,2021-06-01 01:00:00+00:00,ETHUSDT,2730.67,2730.67,2656.73,2662.06,45244.915,121694005.1,80945
1.62E+12,2021-06-01 02:00:00+00:00,ETHUSDT,2662.07,2675.92,2612.63,2644.88,46253.56768,122000117.8,84924
